t,v,i
8.19143171851497E-08,25.26272,0.9393756
8.20541807294527E-08,25.83583,0.7827404
8.22067069845913E-08,26.53693,0.5971724
8.23891255228468E-08,27.47229,0.3859003
8.25555924191209E-08,28.40321,0.2257613
8.26767449707383E-08,29.12229,0.1455774
8.27980300415784E-08,29.8646,0.1062501
8.29131217182934E-08,30.57243,0.1101942
8.30758967131042E-08,31.55921,0.1701458
8.31940173299211E-08,32.253,0.244894
8.32941694206569E-08,32.81579,0.3264305
8.33957883859204E-08,33.35892,0.4152781
8.3511311807597E-08,33.94396,0.5096211
8.36389226002574E-08,34.55806,0.5871295
8.37706690687725E-08,35.17085,0.6170793
8.38980843988394E-08,35.76444,0.5801412
8.40504941859482E-08,36.49881,0.4640892
8.41337719333612E-08,36.92199,0.3735982
8.420383666647E-08,37.29846,0.2853876
8.42714886339026E-08,37.67934,0.1990746
8.43416598980267E-08,38.09116,0.1146859
8.44103287155867E-08,38.50896,0.0425626
8.44794314221488E-08,38.94183,-0.01475492
8.4548773870226E-08,39.38525,-0.05302311
8.46223752760052E-08,39.86088,-0.06788721
8.47268772000668E-08,40.53454,-0.04855748
8.48267335426693E-08,41.16708,0.007089166
8.49151118829159E-08,41.70887,0.08396273
8.50061755583286E-08,42.24349,0.1803173
8.50902984872273E-08,42.7128,0.2735962
8.51888371435438E-08,43.2327,0.3733895
8.53006609920205E-08,43.79245,0.4563987
8.54305922035387E-08,44.41956,0.4944133
8.55787684317942E-08,45.13316,0.4566691
8.57207231402024E-08,45.83846,0.3523367
8.58070551720815E-08,46.28983,0.2622996
8.58826207001663E-08,46.70629,0.1752891
8.59609019493622E-08,47.15694,0.08955371
8.60358907975112E-08,47.60431,0.01923263
8.6103543192211E-08,48.01888,-0.02875557
8.61658915311661E-08,48.4075,-0.05565899
8.62349710484664E-08,48.84132,-0.06510162
8.62980267385405E-08,49.23604,-0.05340796
8.63888464227348E-08,49.79662,-0.007818699
8.6471200512469E-08,50.29179,0.05547803
8.6555058500812E-08,50.77719,0.1359384
8.66439413137869E-08,51.27015,0.2272636
8.67149086627108E-08,51.64766,0.2975189
