t,i
1.34425e-07,-0.0332547
1.34763e-07,-0.0334599
1.35043e-07,-0.0339283
1.35405e-07,-0.0354538
1.35737e-07,-0.036743
1.36525e-07,-0.0380279
1.36948e-07,-0.0395236
1.37375e-07,-0.0409102
1.37835e-07,-0.041634
1.3826e-07,-0.0425668
1.38737e-07,-0.0442339
1.39171e-07,-0.0452967
1.39671e-07,-0.0461002
1.40729e-07,-0.04902
1.4142e-07,-0.050308
1.42704e-07,-0.0534547
1.436e-07,-0.055189
1.45294e-07,-0.0588931
1.50285e-07,-0.067943
1.53736e-07,-0.0732136
1.65736e-07,-0.0889419
1.67736e-07,-0.0926451
1.69736e-07,-0.0974518
1.71736e-07,-0.103569
1.73736e-07,-0.111436
1.75736e-07,-0.120935
1.77288e-07,-0.135468
1.77867e-07,-0.153571
1.78868e-07,-0.214906
1.79107e-07,-0.222887
1.79365e-07,-0.227099
1.79682e-07,-0.230002
1.79972e-07,-0.233048
1.80283e-07,-0.237284
1.80578e-07,-0.24076
1.80922e-07,-0.242163
1.81277e-07,-0.240456
1.81464e-07,-0.238344
1.81631e-07,-0.236006
1.81825e-07,-0.233502
1.82043e-07,-0.231514
1.82328e-07,-0.230507
1.82612e-07,-0.231103
1.82916e-07,-0.232773
1.83249e-07,-0.234362
1.83601e-07,-0.234409
1.84048e-07,-0.23189
1.84601e-07,-0.227355
1.85166e-07,-0.224042
1.85754e-07,-0.222946
1.86347e-07,-0.222289
1.86875e-07,-0.219848
1.87526e-07,-0.214365
1.88046e-07,-0.209687
1.88604e-07,-0.205702
1.8924e-07,-0.201894
1.89862e-07,-0.197218
1.90454e-07,-0.191058
1.93037e-07,-0.161323
1.94057e-07,-0.147731
1.97294e-07,-0.0977519
1.99276e-07,-0.0621888
2e-07,-0.0558337
2.00213e-07,-0.0659516
2.0114e-07,-0.249658
2.01405e-07,-0.244743
2.02246e-07,0.405842
2.03086e-07,2.91929
2.034e-07,3.19188
2.05748e-07,-2.23544
2.05971e-07,-2.34034
2.0707e-07,-0.609949
2.0865e-07,1.77372
2.10864e-07,-0.470865
2.13252e-07,1.2092
2.15467e-07,0.0477479
2.15676e-07,0.045298
2.18132e-07,1.23732
2.18339e-07,1.23074
2.20468e-07,0.556948
2.20669e-07,0.564544
2.23093e-07,1.23034
2.2333e-07,1.22584
2.25098e-07,0.955308
2.25324e-07,0.954081
2.27638e-07,1.34962
2.27964e-07,1.36737
2.28254e-07,1.36542
2.28481e-07,1.35368
2.29633e-07,1.25482
2.29967e-07,1.24675
2.30328e-07,1.25713
2.32727e-07,1.53134
2.33099e-07,1.54293
2.33328e-07,1.54242
2.33531e-07,1.53784
2.34258e-07,1.51443
2.34589e-07,1.51044
2.35042e-07,1.51846
2.35543e-07,1.54341
2.37391e-07,1.70386
2.37834e-07,1.72372
2.38091e-07,1.73012
2.38295e-07,1.7323
2.38489e-07,1.73289
2.3869e-07,1.73272
2.38893e-07,1.73243
2.39143e-07,1.73295
2.39455e-07,1.73637
2.3985e-07,1.74627
2.40253e-07,1.76271
2.42229e-07,1.89076
2.42694e-07,1.91027
2.42944e-07,1.91796
2.43144e-07,1.92246
2.43341e-07,1.926
2.4376e-07,1.93246
2.44055e-07,1.93757
2.44394e-07,1.94537
2.44842e-07,1.95916
2.46814e-07,2.05871
2.47546e-07,2.08888
2.47993e-07,2.10216
2.49237e-07,2.133
2.50009e-07,2.15855
2.51994e-07,2.24158
2.5265e-07,2.26333
2.54065e-07,2.30116
2.57471e-07,2.41373
2.61729e-07,2.53209
2.66045e-07,2.6369
2.67127e-07,2.66142
2.72209e-07,2.76043
2.76206e-07,2.8224
2.77039e-07,2.83357
2.78902e-07,2.85573
2.80028e-07,2.86807
2.80915e-07,2.87705
2.8143e-07,2.88186
2.82144e-07,2.88807
2.82663e-07,2.89226
2.83198e-07,2.89628
2.83805e-07,2.90054
2.84525e-07,2.9053
2.85019e-07,2.90835
2.85509e-07,2.91114
2.86195e-07,2.91467
2.86819e-07,2.91748
2.87466e-07,2.91999
2.88066e-07,2.92192
2.88845e-07,2.92399
2.89586e-07,2.92553
2.90254e-07,2.92655
2.90897e-07,2.92712
2.91723e-07,2.92729
2.92608e-07,2.92683
2.9329e-07,2.92597
2.94141e-07,2.9243
2.95059e-07,2.92189
2.95838e-07,2.9193
2.96716e-07,2.9157
2.97697e-07,2.91092
2.98582e-07,2.90588
2.99615e-07,2.89915
3.00732e-07,2.89096
3.01733e-07,2.8827
3.03088e-07,2.8702
3.04441e-07,2.85631
3.05805e-07,2.84084
3.07259e-07,2.82281
3.08661e-07,2.80388
3.11764e-07,2.75675
3.15199e-07,2.69666
3.2101e-07,2.57731
3.23e-07,2.5693
3.2469e-07,2.90674
3.24763e-07,2.90503
3.25864e-07,2.0397
3.27043e-07,-0.031081
3.28677e-07,1.78168
3.30152e-07,0.12648
3.31431e-07,1.14444
3.32819e-07,0.103276
3.33758e-07,0.617231
3.34602e-07,-0.066538
3.35417e-07,0.493824
3.36225e-07,-0.0655562
3.36928e-07,0.42545
3.3699e-07,0.427279
3.37663e-07,-0.0498598
3.38384e-07,0.363428
3.39085e-07,-0.0393724
3.39708e-07,0.30593
3.39829e-07,0.307397
3.40471e-07,-0.022895
3.41135e-07,0.278602
3.41764e-07,-0.00962699
3.41815e-07,-0.0082376
3.42389e-07,0.247205
3.42507e-07,0.24301
3.43088e-07,0.00152346
3.43693e-07,0.223291
3.43812e-07,0.215762
3.4438e-07,0.012085
3.44958e-07,0.200027
3.4507e-07,0.1988
3.4563e-07,0.0221749
3.457e-07,0.0229345
3.46196e-07,0.175568
3.46312e-07,0.182267
3.46934e-07,0.0273427
3.47486e-07,0.162522
3.47603e-07,0.164101
3.48136e-07,0.035749
3.48216e-07,0.0332612
3.48794e-07,0.150995
3.48917e-07,0.144702
3.49388e-07,0.040032
3.49474e-07,0.0370946
3.49957e-07,0.129614
3.50077e-07,0.137653
3.50207e-07,0.128603
3.50625e-07,0.0433269
3.5071e-07,0.0392585
3.50802e-07,0.044243
3.51297e-07,0.125215
3.51423e-07,0.12063
3.51867e-07,0.0445444
3.51951e-07,0.0405739
3.52042e-07,0.0442611
3.52426e-07,0.105802
3.52545e-07,0.114152
3.52673e-07,0.109709
3.53138e-07,0.0429833
3.53227e-07,0.0420126
3.53347e-07,0.0505838
3.53649e-07,0.09459
3.53761e-07,0.103216
3.53897e-07,0.100577
3.54331e-07,0.0462065
3.54431e-07,0.0415924
3.5454e-07,0.044912
3.54993e-07,0.0935484
3.55122e-07,0.0928184
3.55553e-07,0.0464959
3.5566e-07,0.0409829
3.55767e-07,0.0431051
3.5616e-07,0.0807475
3.56284e-07,0.0859745
3.5642e-07,0.0819268
3.56848e-07,0.0412289
3.56957e-07,0.0396656
3.57081e-07,0.0450419
3.57404e-07,0.0739173
3.57523e-07,0.0778588
3.57672e-07,0.0733756
3.57997e-07,0.0444812
3.58112e-07,0.038352
3.58218e-07,0.0383106
3.58363e-07,0.0456386
3.58582e-07,0.063262
3.58709e-07,0.0695873
3.5884e-07,0.0690797
3.5901e-07,0.0598329
3.59293e-07,0.0380217
3.59405e-07,0.0354728
3.59531e-07,0.038285
3.59862e-07,0.0597758
3.59989e-07,0.0631625
3.60134e-07,0.0601619
3.60476e-07,0.0376731
3.60596e-07,0.0333071
3.60709e-07,0.0338778
3.6087e-07,0.0407252
3.61115e-07,0.0541845
3.61248e-07,0.0564507
3.61393e-07,0.0530806
3.61713e-07,0.0342072
3.61835e-07,0.0304529
3.61952e-07,0.0311317
3.62117e-07,0.0374002
3.62246e-07,0.043866
3.6237e-07,0.0487825
3.62505e-07,0.0499119
